folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0301083904,1,01,urbano,4312,164,3,2,18407.600000000002,4660.52,2366.33,0.0,0.0
0301086404,1,01,urbano,2655,191,2,1,54056.79,4660.52,2366.33,0.0,0.0
0301090802,1,01,urbano,2655,175,1,0,165955.45,4660.52,2366.33,0.0,0.0
0301091906,1,01,urbano,2172,154,2,1,42158.985,4660.52,2366.33,0.0,0.0
0301093404,1,01,urbano,3222,161,3,2,17317.329999999998,4660.52,2366.33,0.0,0.0
0301094601,1,01,urbano,2544,150,3,2,31662.486666666668,4660.52,2366.33,0.0,0.0
0301096006,1,01,urbano,2655,167,5,4,15984.779999999999,4660.52,2366.33,0.0,0.0
0301106203,1,01,urbano,5212,152,1,0,111587.44,4660.52,2366.33,0.0,0.0
0301106206,1,01,urbano,3222,152,1,0,109832.59,4660.52,2366.33,0.0,0.0
0301106206,2,01,urbano,3222,152,1,0,87003.26,4660.52,2366.33,0.0,0.0
0301106206,4,01,urbano,3222,152,1,0,80535.12,4660.52,2366.33,0.0,0.0
0301108402,1,01,urbano,2544,171,2,1,48067.53,4660.52,2366.33,0.0,0.0
0301109605,1,01,urbano,2172,244,3,2,38934.42,4660.52,2366.33,0.0,0.0
0301111806,1,01,urbano,5212,206,3,2,22058.75333333333,4660.52,2366.33,0.0,0.0
0361114922,1,01,rural,7313,26,4,3,10439.3775,3342.21,1795.77,0.0,0.0
0361118202,1,01,rural,5212,26,2,1,13302.675,3342.21,1795.77,0.0,0.0
0361120512,1,01,rural,7353,23,4,3,15116.515,3342.21,1795.77,0.0,0.0
0361132919,1,01,rural,2161,27,2,1,24496.865,3342.21,1795.77,0.0,0.0
0361134206,1,01,rural,1721,39,4,3,24825.76,3342.21,1795.77,0.0,0.0
0361134718,1,01,rural,7342,39,2,1,18590.16,3342.21,1795.77,0.0,0.0
0361155924,1,01,rural,4312,31,3,2,41243.200000000004,3342.21,1795.77,0.0,0.0
0401161021,1,01,urbano,7313,141,2,1,6320.34,4660.52,2366.33,0.0,0.0
0401161303,1,01,urbano,7332,141,2,1,9999.16,4660.52,2366.33,0.0,0.0
0401164715,1,01,urbano,7332,129,1,0,3393.44,4660.52,2366.33,1.0,0.0
0401175505,1,01,urbano,2162,129,2,1,22085.805,4660.52,2366.33,0.0,0.0
0401183204,1,01,urbano,1422,130,2,1,84770.58,4660.52,2366.33,0.0,0.0
0401191006,1,01,urbano,2712,120,1,0,44098.56,4660.52,2366.33,0.0,0.0
0401206605,1,01,urbano,2625,120,2,1,34573.96,4660.52,2366.33,0.0,0.0
0401217405,1,01,urbano,9713,126,4,3,16077.1925,4660.52,2366.33,0.0,0.0
