folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
0602244401,1,01,urbano,5212,121,0,0
0602275022,1,01,urbano,5212,97,0,0
0602275609,1,01,urbano,7999,97,0,0
0602277507,1,01,urbano,2271,90,0,0
0602282611,1,01,urbano,4312,112,0,0
0602285206,1,01,urbano,2271,116,0,0
0602297901,1,01,urbano,2271,138,0,0
0602302401,1,01,urbano,7343,109,0,0
0602303702,1,01,urbano,2172,107,0,0
0602311405,1,01,urbano,2271,198,0,0
0602321202,1,01,urbano,2552,115,0,0
0602321202,2,01,urbano,5212,115,0,0
0602321202,2,01,urbano,4233,115,0,0
0602330003,1,01,urbano,5212,128,0,0
0602344006,1,01,urbano,2712,106,0,0
0602350805,1,01,urbano,2271,148,0,0
0602359802,1,01,urbano,2271,103,0,0
0602359802,1,01,urbano,2271,103,0,0
0602363301,1,01,urbano,2162,108,0,0
0602374003,1,01,urbano,2271,127,0,0
0602375306,1,01,urbano,2271,132,0,0
0602381806,1,01,urbano,2552,139,0,0
0662388814,1,01,rural,7321,16,0,0
0662389814,1,01,rural,7332,24,0,0
0662392305,1,01,rural,7343,14,1,0
0662393019,1,01,rural,7999,14,0,0
0662398511,1,01,rural,7343,18,0,0
0662405024,1,01,rural,2172,16,0,0
0662411920,1,01,rural,7343,14,1,0
0662414616,1,01,rural,9713,20,0,0
0662418202,1,01,rural,7353,17,0,0
0662428616,1,01,rural,4312,14,0,0
0662429511,1,01,rural,7332,17,0,0
0662434407,1,01,rural,5212,23,0,0
0662440303,1,01,rural,1722,22,0,0
0662440817,1,01,rural,7313,22,1,1
0702454604,1,01,urbano,7353,849,0,0
0702454606,1,01,urbano,9713,849,0,0
0702455806,1,01,urbano,7321,711,0,0
0702459204,1,01,urbano,2271,891,0,0
0702465506,1,01,urbano,7343,672,0,0
0702472706,1,01,urbano,7353,751,0,0
0702476411,1,01,urbano,2552,664,0,0
0702476717,1,01,urbano,7353,664,1,1
0702482002,1,01,urbano,2712,668,0,0
0702490003,1,01,urbano,3222,550,0,0
0702492603,1,01,urbano,7343,595,1,1
0702497817,1,01,urbano,5212,712,0,0
0702499401,1,01,urbano,7332,942,1,0
0702528202,1,01,urbano,2172,988,0,0
0702528206,1,01,urbano,2625,988,0,0
0702531404,1,01,urbano,2162,550,0,0
0702535603,1,01,urbano,2271,808,0,0
0702548702,1,01,urbano,7322,719,0,0
0702553203,1,01,urbano,2544,1256,0,0
0702563405,1,01,urbano,4312,1419,0,0
0702569402,1,01,urbano,2655,672,0,0
0712571617,1,01,urbano,2625,519,0,0
0712573305,1,01,urbano,1422,677,0,0
0712573715,1,01,urbano,2271,677,0,0
0712578803,1,01,urbano,7343,758,0,0
0712579408,1,01,urbano,7332,324,0,0
0762585612,1,01,rural,2172,690,0,0
0762586713,1,01,rural,2655,568,0,0
0762587203,1,01,rural,7342,668,1,1
0762587412,1,01,rural,7343,668,0,0
0762588301,1,01,rural,7332,672,1,0
0762588510,1,01,rural,7332,672,0,0
0762589206,1,01,rural,7343,653,0,0
0762589206,2,01,rural,7343,653,0,0
0762589409,1,01,rural,7343,653,0,0
0762590508,1,01,rural,7313,585,0,0
0762602715,1,01,rural,7342,631,0,0
0762618401,1,01,rural,2172,644,0,0
0762620824,1,01,rural,7332,717,0,0
0762621305,1,01,rural,2152,658,0,0
0762625919,1,01,rural,7343,680,0,0
0802628410,1,01,urbano,7342,314,0,0
0802628714,1,01,urbano,7342,314,0,0
0802644920,1,01,urbano,7353,495,1,0
0802662306,1,01,urbano,2271,356,0,0
0802663704,1,01,urbano,2271,385,0,0
0802664904,1,01,urbano,2652,398,0,0
0802689501,1,01,urbano,7201,394,0,0
0802706501,1,01,urbano,5212,360,1,0
0802709402,1,01,urbano,4312,380,0,0
0802742906,1,01,urbano,2271,352,0,0
0802742906,1,01,urbano,2271,352,0,0
0802760205,1,01,urbano,2173,384,0,0
0802776606,1,01,urbano,2271,411,0,0
0802786601,1,01,urbano,9713,393,0,0
0802790906,1,01,urbano,2271,394,1,0
0802791804,1,01,urbano,2172,287,0,0
0802798503,1,01,urbano,2543,398,0,0
0802813404,1,01,urbano,2271,416,0,0
0802825005,1,01,urbano,8144,334,0,0
0802825006,1,01,urbano,2172,334,0,0
0802848921,1,01,urbano,5212,393,0,0
0802849903,1,01,urbano,7601,361,0,0
0802874305,1,01,urbano,7322,348,0,0
0802891601,1,01,urbano,7321,349,0,0
0802900903,1,01,urbano,7321,492,0,0
0802915905,1,01,urbano,2271,306,0,0
0802919406,1,01,urbano,2271,286,0,0
0802921202,1,01,urbano,5212,379,0,0
0802935001,1,01,urbano,2625,394,0,0
0802939904,1,01,urbano,8144,287,0,0
0802954505,1,01,urbano,2625,351,0,0
0802965905,1,01,urbano,7322,351,0,0
0802977005,1,01,urbano,7223,329,0,0
0802989204,1,01,urbano,2173,283,0,0
0803011803,1,01,urbano,5212,343,0,0
0803017705,1,01,urbano,5212,328,0,0
0803018603,1,01,urbano,2162,332,0,0
0803019801,1,01,urbano,2271,368,0,0
0803022503,1,01,urbano,2271,344,0,0
0803022505,1,01,urbano,2271,344,0,0
0803030801,1,01,urbano,7999,333,0,0
0803057802,1,01,urbano,5212,307,0,0
0803059306,1,01,urbano,2271,360,0,0
0803059306,1,01,urbano,2172,360,0,0
0803071201,1,01,urbano,7342,279,0,0
0803074903,1,01,urbano,7353,322,0,0
0803075203,1,01,urbano,2271,348,0,0
0803087202,1,01,urbano,2544,343,0,0
0803088405,1,01,urbano,4312,359,0,0
0803099703,1,01,urbano,8144,307,0,0
0803123023,1,01,urbano,2172,294,0,0
0803123612,1,01,urbano,2173,294,0,0
0803125615,1,01,urbano,7353,482,0,0
0803129814,1,01,urbano,2271,463,0,0
0863143411,1,01,rural,7332,63,1,1
0863145024,1,01,rural,7313,83,1,1
0863149508,1,01,rural,7999,80,0,0
0863152201,1,01,rural,5212,68,0,0
0863152714,1,01,rural,7332,68,1,0
0863161407,1,01,rural,7201,80,0,0
0863166304,1,01,rural,7353,86,0,0
0863171304,1,01,rural,2172,94,1,0
0863179511,1,01,rural,4312,80,0,0
0863185821,1,01,rural,7313,80,1,0
0863187408,1,01,rural,2271,76,0,0
0863213304,1,01,rural,5212,70,0,0
0903230304,1,01,urbano,2271,1317,0,0
0903237402,1,01,urbano,2543,1625,0,0
0903247703,1,01,urbano,2131,1553,0,0
0903256602,1,01,urbano,5212,1585,0,0
0903258001,1,01,urbano,2152,1485,0,0
0903260502,1,01,urbano,2152,1239,0,0
0903260503,1,01,urbano,2271,1239,0,0
0903286706,1,01,urbano,7301,1596,0,0
0903293803,1,01,urbano,7342,1124,0,0
